,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.0431525707244873,0.6002179980278015,0.5445733070373535,0.7829833030700684
1,0.46435046195983887,0.8030266165733337,0.4231017529964447,0.8117833137512207
2,0.4077547788619995,0.8147677183151245,0.3983255922794342,0.8159993290901184
3,0.39158692955970764,0.8177250027656555,0.38760048151016235,0.8179534077644348
4,0.3840373754501343,0.8190268278121948,0.38239210844039917,0.8189765214920044
5,0.3793169856071472,0.8201611042022705,0.3779473304748535,0.8201695084571838
6,0.37587544322013855,0.8211179375648499,0.375693142414093,0.8207512497901917
7,0.3730789124965668,0.8220571875572205,0.3731983006000519,0.8216040134429932
8,0.37092453241348267,0.8227615356445312,0.37122106552124023,0.8221015334129333
9,0.3690279722213745,0.823488712310791,0.36949485540390015,0.8228438496589661
10,0.3675282597541809,0.8240413665771484,0.3681349456310272,0.8232912421226501
11,0.36609119176864624,0.824629008769989,0.3670720160007477,0.8236669898033142
12,0.3648678660392761,0.825208842754364,0.366069495677948,0.8240795731544495
13,0.36380788683891296,0.8256767988204956,0.36550211906433105,0.8243430256843567
14,0.36294808983802795,0.8260814547538757,0.3643653392791748,0.8248751759529114
15,0.3621852397918701,0.8264381885528564,0.3638993799686432,0.8249431252479553
16,0.3615412414073944,0.8267278075218201,0.363676518201828,0.8251966238021851
17,0.3609257638454437,0.8270515203475952,0.3629700243473053,0.8253400921821594
18,0.36047086119651794,0.8272489309310913,0.3625160753726959,0.825575053691864
19,0.3598894774913788,0.8275910019874573,0.3620273768901825,0.8258280158042908
